produc_name,Pricing,Ratings
Apple iPhone 6 (Gold| 32 GB),Rs.23975,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs.23975,4.4
Apple iPhone SE (Rose Gold| 32 GB),Rs.18999,4.4
Apple iPhone SE (Gold| 32 GB),Rs.18999,4.4
Apple iPhone 6s (Space Grey| 32 GB),Rs.34999,4.4
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.37999,4.4
Apple iPhone SE (Space Grey| 32 GB),Rs.19999,4.4
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.37999,4.5
Apple iPhone 7 (Rose Gold| 32 GB),Rs.47999,4.5
Apple iPhone 6s Plus (Gold| 32 GB),Rs.37999,4.4
Apple iPhone 6s Plus (Silver| 32 GB),Rs.37999,4.5
Apple iPhone 7 (Black| 32 GB),Rs.48999,4.5
Apple iPhone 7 (Jet Black| 32 GB),Rs.48999,4.5
Apple iPhone 6s (Rose Gold| 32 GB),Rs.35999,4.4
Apple iPhone 6s (Gold| 32 GB),Rs.35999,4.4
Apple iPhone 7 (Gold| 32 GB),Rs.48999,4.5
Apple iPhone 7 (Black| 128 GB),Rs.54999,4.6
Apple iPhone 7 Plus (Jet Black| 128 GB),Rs.66999,4.6
Apple iPhone 6s (Silver| 32 GB),Rs.35999,4.4
Apple iPhone 8 Plus (Space Grey| 64 GB),Rs.74999,4.6
Apple iPhone SE (Silver| 32 GB),Rs.20999,4.4
Apple iPhone 8 Plus (PRODUCT)RED (Red| 64 GB),Rs.76999,4.6
Apple iPhone X (Space Gray| 64 GB),Rs.83750,4.6
Apple iPhone 8 (Silver| 64 GB),Rs.63999,4.5
